varied,pop_size,crossover_rate,mutation_rate,n_generations,final_fitness,gap_pct
pop_size,50,0.8,0.5,300,902,15.051020408163263
pop_size,100,0.8,0.5,300,955,21.81122448979591
pop_size,150,0.8,0.5,300,889,13.392857142857139
crossover_rate,100,0.6,0.5,300,868,10.71428571428572
crossover_rate,100,0.8,0.5,300,955,21.81122448979591
crossover_rate,100,0.95,0.5,300,878,11.989795918367353
mutation_rate,100,0.8,0.2,300,869,10.841836734693878
mutation_rate,100,0.8,0.5,300,955,21.81122448979591
mutation_rate,100,0.8,0.8,300,894,14.030612244897966
n_generations,100,0.8,0.5,100,979,24.872448979591844
n_generations,100,0.8,0.5,200,957,22.066326530612244
n_generations,100,0.8,0.5,300,955,21.81122448979591
